Team,Points
Atlanta Reign,-8
Boston Uprising,-18
Dallas Fuel,1
Dreamers,-13
Florida Mayhem,-4
Guangzhou Charge,4
Hangzhou Spark,0
Houston Outlaws,2
London Spitfire,-8
Los Angeles Gladiators,1
Los Angeles Valiant,15
New York Excelsior,4
O2 Blast,-1
PANTHERA,4
Poker Face,-7
Redbird Esports,-2
Rhodes,-3
Saints,-1
San Francisco Shock,4
Seoul Dynasty,19
Shanghai Dragons,-3
Sin Prisa Gaming,-9
Team Peps,-2
Timeless,-12
Toronto Defiant,-2
Trick Room,2
Twisted Minds,8
Vancouver Titans,4
Vegas Eternal,-25
WISP,8
Washington Justice,-27
Team,Points
Atlanta Reign,4
Boston Uprising,-6
Dallas Fuel,-3
Dreamers,-4
Florida Mayhem,11
Guangzhou Charge,5
Hangzhou Spark,6
Houston Outlaws,8
London Spitfire,2
Los Angeles Gladiators,-21
Los Angeles Valiant,-10
New York Excelsior,8
O2 Blast,-19
PANTHERA,3
Poker Face,2
Redbird Esports,-11
Rhodes,4
Saints,4
San Francisco Shock,-10
Seoul Dynasty,-9
Shanghai Dragons,21
Sin Prisa Gaming,-7
Team Peps,-6
Timeless,6
Toronto Defiant,-1
Trick Room,5
Twisted Minds,-5
Vancouver Titans,7
Vegas Eternal,1
WISP,-15
Washington Justice,1
Team,Points
Atlanta Reign,0
Boston Uprising,-14
Dallas Fuel,-3
Dreamers,12
Florida Mayhem,11
Guangzhou Charge,-4
Hangzhou Spark,-5
Houston Outlaws,-4
London Spitfire,2
Los Angeles Gladiators,9
Los Angeles Valiant,-12
New York Excelsior,-1
O2 Blast,-7
PANTHERA,2
Poker Face,8
Redbird Esports,5
Rhodes,-5
Saints,3
San Francisco Shock,-11
Seoul Dynasty,3
Shanghai Dragons,-5
Sin Prisa Gaming,-1
Team Peps,-1
Timeless,1
Toronto Defiant,-8
Trick Room,3
Twisted Minds,3
Vancouver Titans,-12
Vegas Eternal,-12
WISP,-6
Washington Justice,-18
Team,Points
Atlanta Reign,-6
Boston Uprising,-25
Dallas Fuel,1
Dreamers,-11
Florida Mayhem,-1
Guangzhou Charge,-7
Hangzhou Spark,-3
Houston Outlaws,3
London Spitfire,-5
Los Angeles Gladiators,10
Los Angeles Valiant,5
New York Excelsior,2
O2 Blast,-11
PANTHERA,1
Poker Face,-4
Redbird Esports,-1
Rhodes,1
Saints,7
San Francisco Shock,12
Seoul Dynasty,6
Shanghai Dragons,12
Sin Prisa Gaming,0
Team Peps,2
Timeless,-9
Toronto Defiant,-5
Trick Room,-8
Twisted Minds,-1
Vancouver Titans,-13
Vegas Eternal,-27
WISP,1
Washington Justice,11
Team,Points
Atlanta Reign,9
Boston Uprising,-19
Dallas Fuel,-3
Dreamers,-3
Florida Mayhem,21
Guangzhou Charge,-1
Hangzhou Spark,-4
Houston Outlaws,-5
London Spitfire,-3
Los Angeles Gladiators,2
Los Angeles Valiant,8
New York Excelsior,-5
O2 Blast,-13
PANTHERA,3
Poker Face,2
Redbird Esports,7
Rhodes,2
Saints,-14
San Francisco Shock,3
Seoul Dynasty,15
Shanghai Dragons,-3
Sin Prisa Gaming,-7
Team Peps,4
Timeless,-12
Toronto Defiant,-5
Trick Room,9
Twisted Minds,-4
Vancouver Titans,-11
Vegas Eternal,-19
WISP,-16
Washington Justice,-22
Team,Points
Atlanta Reign,0
Boston Uprising,-8
Dallas Fuel,1
Dreamers,-2
Florida Mayhem,19
Guangzhou Charge,3
Hangzhou Spark,-5
Houston Outlaws,-3
London Spitfire,-4
Los Angeles Gladiators,1
Los Angeles Valiant,-12
New York Excelsior,-3
O2 Blast,19
PANTHERA,1
Poker Face,7
Redbird Esports,-6
Rhodes,-2
Saints,-3
San Francisco Shock,-2
Seoul Dynasty,-7
Shanghai Dragons,17
Sin Prisa Gaming,1
Team Peps,0
Timeless,-16
Toronto Defiant,-2
Trick Room,4
Twisted Minds,10
Vancouver Titans,17
Vegas Eternal,-31
WISP,9
Washington Justice,-11
Team,Points
Atlanta Reign,13
Boston Uprising,-14
Dallas Fuel,2
Dreamers,20
Florida Mayhem,6
Guangzhou Charge,-4
Hangzhou Spark,10
Houston Outlaws,-8
London Spitfire,-4
Los Angeles Gladiators,-10
Los Angeles Valiant,11
New York Excelsior,-3
O2 Blast,2
PANTHERA,-7
Poker Face,5
Redbird Esports,-8
Rhodes,3
Saints,4
San Francisco Shock,-7
Seoul Dynasty,10
Shanghai Dragons,5
Sin Prisa Gaming,10
Team Peps,-1
Timeless,11
Toronto Defiant,-5
Trick Room,-24
Twisted Minds,-11
Vancouver Titans,-9
Vegas Eternal,1
WISP,3
Washington Justice,-2
Team,Points
Atlanta Reign,9
Boston Uprising,0
Dallas Fuel,1
Dreamers,-1
Florida Mayhem,6
Guangzhou Charge,-8
Hangzhou Spark,2
Houston Outlaws,-9
London Spitfire,-3
Los Angeles Gladiators,6
Los Angeles Valiant,-9
New York Excelsior,3
O2 Blast,-1
PANTHERA,0
Poker Face,-9
Redbird Esports,-13
Rhodes,-1
Saints,4
San Francisco Shock,-2
Seoul Dynasty,11
Shanghai Dragons,-3
Sin Prisa Gaming,5
Team Peps,1
Timeless,-8
Toronto Defiant,0
Trick Room,-9
Twisted Minds,1
Vancouver Titans,10
Vegas Eternal,-32
WISP,3
Washington Justice,-25
Team,Points
Atlanta Reign,-2
Boston Uprising,-2
Dallas Fuel,-2
Dreamers,-13
Florida Mayhem,5
Guangzhou Charge,8
Hangzhou Spark,-2
Houston Outlaws,9
London Spitfire,0
Los Angeles Gladiators,5
Los Angeles Valiant,-5
New York Excelsior,-7
O2 Blast,9
PANTHERA,-11
Poker Face,-4
Redbird Esports,5
Rhodes,-1
Saints,-4
San Francisco Shock,6
Seoul Dynasty,3
Shanghai Dragons,23
Sin Prisa Gaming,-6
Team Peps,0
Timeless,-4
Toronto Defiant,0
Trick Room,-14
Twisted Minds,9
Vancouver Titans,11
Vegas Eternal,-29
WISP,2
Washington Justice,-20
Team,Points
Atlanta Reign,-3
Boston Uprising,-1
Dallas Fuel,1
Dreamers,-3
Florida Mayhem,7
Guangzhou Charge,-1
Hangzhou Spark,-2
Houston Outlaws,-14
London Spitfire,4
Los Angeles Gladiators,12
Los Angeles Valiant,-5
New York Excelsior,8
O2 Blast,-3
PANTHERA,-5
Poker Face,-6
Redbird Esports,2
Rhodes,2
Saints,-8
San Francisco Shock,-2
Seoul Dynasty,-1
Shanghai Dragons,28
Sin Prisa Gaming,0
Team Peps,0
Timeless,-12
Toronto Defiant,-2
Trick Room,-11
Twisted Minds,5
Vancouver Titans,9
Vegas Eternal,-22
WISP,-14
Washington Justice,-5
Team,Points
Atlanta Reign,-3
Boston Uprising,-9
Dallas Fuel,3
Dreamers,2
Florida Mayhem,6
Guangzhou Charge,3
Hangzhou Spark,13
Houston Outlaws,3
London Spitfire,5
Los Angeles Gladiators,-15
Los Angeles Valiant,-5
New York Excelsior,5
O2 Blast,0
PANTHERA,-10
Poker Face,8
Redbird Esports,4
Rhodes,0
Saints,-9
San Francisco Shock,-15
Seoul Dynasty,-8
Shanghai Dragons,-14
Sin Prisa Gaming,4
Team Peps,-11
Timeless,-15
Toronto Defiant,-5
Trick Room,0
Twisted Minds,-9
Vancouver Titans,5
Vegas Eternal,-17
WISP,-4
Washington Justice,-14
Team,Points
Atlanta Reign,-10
Boston Uprising,-13
Dallas Fuel,1
Dreamers,-9
Florida Mayhem,8
Guangzhou Charge,-4
Hangzhou Spark,-1
Houston Outlaws,-8
London Spitfire,-2
Los Angeles Gladiators,3
Los Angeles Valiant,-10
New York Excelsior,5
O2 Blast,-3
PANTHERA,-3
Poker Face,-3
Redbird Esports,0
Rhodes,-1
Saints,3
San Francisco Shock,-2
Seoul Dynasty,11
Shanghai Dragons,1
Sin Prisa Gaming,-5
Team Peps,2
Timeless,-4
Toronto Defiant,-3
Trick Room,2
Twisted Minds,4
Vancouver Titans,7
Vegas Eternal,-9
WISP,-4
Washington Justice,-15
Team,Points
Atlanta Reign,-4
Boston Uprising,-4
Dallas Fuel,1
Dreamers,-22
Florida Mayhem,2
Guangzhou Charge,0
Hangzhou Spark,-8
Houston Outlaws,-12
London Spitfire,3
Los Angeles Gladiators,-8
Los Angeles Valiant,-9
New York Excelsior,-1
O2 Blast,-7
PANTHERA,-3
Poker Face,-1
Redbird Esports,0
Rhodes,-2
Saints,-7
San Francisco Shock,-3
Seoul Dynasty,21
Shanghai Dragons,8
Sin Prisa Gaming,-7
Team Peps,6
Timeless,14
Toronto Defiant,-6
Trick Room,-12
Twisted Minds,-6
Vancouver Titans,9
Vegas Eternal,-23
WISP,-7
Washington Justice,-13
Team,Points
Atlanta Reign,-10
Boston Uprising,-11
Dallas Fuel,1
Dreamers,-15
Florida Mayhem,17
Guangzhou Charge,4
Hangzhou Spark,15
Houston Outlaws,-14
London Spitfire,-1
Los Angeles Gladiators,0
Los Angeles Valiant,16
New York Excelsior,4
O2 Blast,-7
PANTHERA,-5
Poker Face,-10
Redbird Esports,0
Rhodes,1
Saints,8
San Francisco Shock,-1
Seoul Dynasty,-3
Shanghai Dragons,6
Sin Prisa Gaming,3
Team Peps,-7
Timeless,0
Toronto Defiant,-1
Trick Room,1
Twisted Minds,-10
Vancouver Titans,14
Vegas Eternal,-33
WISP,5
Washington Justice,-25
